Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
1,1,0,550.0,10500,Banjara Hills,0,0,0,0
2,3,3,1300.0,35000,Nallagandla,1,0,0,0
3,3,3,1591.0,65000,Financial District,0,0,0,0
3,2,0,1185.0,17000,Bachupally,0,1,0,0
3,2,2,1199.0,30000,Miyapur,0,1,0,0
3,3,2,1050.0,7500,Ghatkesar,0,1,0,0
2,2,0,750.0,16000,Masab Tank,0,0,0,0
2,2,0,1100.0,16000,Kapra,0,0,0,0
1,1,2,750.0,14000,Srinagar Colony-Yousufguda,0,1,0,0
1,1,0,600.0,9500,Shaikpet,0,1,0,0
3,3,2,1200.0,11500,Kowkur,0,1,0,0
1,1,2,323.0,8000,Chanda Nagar,0,1,0,0
3,3,0,1125.0,20000,Old Bowenpally,0,1,0,0
4,5,0,3750.0,5000,Pocharam,0,0,0,0
2,2,2,1062.0,15000,Nizampet,0,1,0,0
2,2,0,675.0,10000,New Hema Nagar Colony,0,1,0,0
2,2,1,1050.0,8500,Beeramguda,0,0,0,0
2,2,2,675.0,12000,Madinaguda,0,0,0,0
2,2,2,563.0,22000,Himayat Nagar,0,0,0,0
1,2,0,825.0,12500,Attapur,0,1,0,0
2,2,1,825.0,14000,Tolichowki,0,0,0,0
3,3,2,1013.0,23000,Ameerpet,0,0,0,0
1,1,0,1125.0,8000,Old Safilguda,0,0,0,0
2,2,0,1013.0,14000,Chanda Nagar,0,1,0,0
2,2,2,941.0,18000,Nallagandla,0,0,0,0
1,1,1,101.0,4200,Ambedkar Nagar-Nadergul,0,0,0,0
2,2,0,1125.0,12000,Dammaiguda,0,0,0,0
2,2,2,975.0,28000,Chanda Nagar,0,1,0,0
2,2,2,918.0,18000,Miyapur,0,0,0,0
1,2,2,600.0,12000,Musheerabad,0,1,0,0
2,2,2,626.0,15000,Sainikpuri,0,0,0,0
2,2,2,859.0,18000,Madinaguda,0,0,0,0
2,2,0,600.0,6800,Shastripuram Colony,0,0,0,0
2,2,0,1125.0,12000,Nizampet,0,1,0,0
2,2,0,927.0,23000,Himayath Nagar,0,0,0,0
3,3,0,600.0,28000,Toli Chowki,0,0,0,0
2,2,0,638.0,10000,Hayathnagar Khalsa,0,0,0,0
2,2,0,675.0,15000,Pragathi Nagar,0,0,0,0
2,2,2,638.0,10000,Kukatpally,0,0,0,0
3,2,0,906.0,11500,Nagaram,0,0,0,0
3,2,3,1650.0,42000,Madinaguda,0,1,0,0
1,1,0,150.0,4000,Bagh Lingampally,0,1,0,0
3,3,0,1988.0,20000,Narapally,0,1,0,0
2,2,0,750.0,10500,Allwyn Colony,0,0,0,0
3,2,0,1056.0,15000,Pocharam,0,1,0,0
1,1,1,450.0,8000,Masab Tank,0,0,0,0
3,3,0,1200.0,15000,Asif Nagar,0,0,0,0
1,1,2,300.0,8000,Banjara Hills,0,0,0,0
2,2,2,990.0,25000,Kokapet,0,0,0,0
2,2,0,938.0,13000,Green Hills Colony-LB Nagar,0,1,0,0
2,2,2,825.0,15000,NTR Nagar-LB Nagar,0,1,0,0
2,2,0,1700.0,15000,Gajularamaram,0,0,0,0
3,3,0,1350.0,16000,Mayuri Nagar,0,0,0,0
2,2,3,150.0,8000,Erragada,0,0,0,0
2,2,0,750.0,6500,Toli Chowki,0,1,0,0
1,1,2,600.0,7000,KPHB Phase 3,0,0,0,0
3,2,0,1350.0,50000,Mohan Nagar,0,1,0,0
2,2,2,950.0,15000,Chanda Nagar,0,1,0,0
1,1,1,263.0,12000,KPHB Phase 1,0,0,0,0
2,2,1,960.0,15000,Beeramguda,0,1,0,0
1,1,1,150.0,8000,Sri Ram Nagar,0,0,0,0
2,2,0,1275.0,15000,LB Nagar,0,1,0,0
